N_pix,T_mag,noise,noise_ro,noise_sky,noise_star,noise_sys
15.27,7.85,9.307e-05,6.113e-06,3.657e-05,6.073e-05,6e-05
15.06,7.9,9.46e-05,6.358e-06,3.804e-05,6.214e-05,6e-05
14.87,7.95,9.619e-05,6.614e-06,3.957e-05,6.359e-05,6e-05
14.68,8,9.786e-05,6.882e-06,4.117e-05,6.507e-05,6e-05
14.5,8.05,9.937e-05,7.23e-06,4.179e-05,6.69e-05,6e-05
14.32,8.1,0.0001012,7.526e-06,4.35e-05,6.846e-05,6e-05
14.15,8.15,0.0001031,7.834e-06,4.528e-05,7.006e-05,6e-05
13.99,8.2,0.000105,8.157e-06,4.715e-05,7.169e-05,6e-05
13.84,8.25,0.0001071,8.495e-06,4.91e-05,7.336e-05,6e-05
13.7,8.3,0.0001092,8.848e-06,5.114e-05,7.507e-05,6e-05
13.56,8.35,0.0001115,9.217e-06,5.328e-05,7.682e-05,6e-05
13.42,8.4,0.0001135,9.716e-06,5.411e-05,7.906e-05,6e-05
13.29,8.45,0.0001159,1.013e-05,5.639e-05,8.09e-05,6e-05
13.17,8.5,0.0001184,1.055e-05,5.878e-05,8.279e-05,6e-05
13.06,8.55,0.0001211,1.1e-05,6.128e-05,8.472e-05,6e-05
12.95,8.6,0.0001238,1.147e-05,6.39e-05,8.669e-05,6e-05
12.84,8.65,0.0001267,1.196e-05,6.663e-05,8.871e-05,6e-05
12.74,8.7,0.0001297,1.248e-05,6.95e-05,9.078e-05,6e-05
12.65,8.75,0.0001329,1.302e-05,7.251e-05,9.289e-05,6e-05
12.55,8.8,0.0001362,1.358e-05,7.565e-05,9.505e-05,6e-05
12.47,8.85,0.0001393,1.444e-05,7.726e-05,9.817e-05,6e-05
12.39,8.9,0.0001429,1.507e-05,8.063e-05,0.0001005,6e-05
12.31,8.95,0.0001466,1.573e-05,8.417e-05,0.0001028,6e-05
12.24,9,0.0001505,1.642e-05,8.787e-05,0.0001052,6e-05
12.16,9.05,0.0001546,1.715e-05,9.175e-05,0.0001076,6e-05
12.1,9.1,0.0001588,1.79e-05,9.581e-05,0.0001101,6e-05
12.03,9.15,0.0001633,1.87e-05,0.0001001,0.0001127,6e-05
11.97,9.2,0.000168,1.953e-05,0.0001045,0.0001153,6e-05
11.92,9.25,0.0001728,2.04e-05,0.0001092,0.000118,6e-05
11.86,9.3,0.0001779,2.132e-05,0.0001141,0.0001208,6e-05
11.81,9.35,0.0001832,2.227e-05,0.0001192,0.0001236,6e-05
11.76,9.4,0.0001888,2.327e-05,0.0001245,0.0001265,6e-05
11.71,9.45,0.0001946,2.432e-05,0.0001301,0.0001294,6e-05
11.67,9.5,0.0002007,2.542e-05,0.000136,0.0001324,6e-05
11.62,9.55,0.0002071,2.656e-05,0.0001421,0.0001355,6e-05
11.58,9.6,0.0002137,2.777e-05,0.0001486,0.0001387,6e-05
11.54,9.65,0.0002207,2.902e-05,0.0001553,0.0001419,6e-05
11.5,9.7,0.0002279,3.034e-05,0.0001623,0.0001452,6e-05
11.46,9.75,0.0002357,3.273e-05,0.0001677,0.0001509,6e-05
11.43,9.8,0.0002436,3.421e-05,0.0001753,0.0001545,6e-05
11.39,9.85,0.0002519,3.577e-05,0.0001832,0.0001581,6e-05
11.35,9.9,0.0002605,3.739e-05,0.0001916,0.0001617,6e-05
11.32,9.95,0.0002695,3.909e-05,0.0002003,0.0001655,6e-05
11.28,10,0.0002789,4.087e-05,0.0002094,0.0001694,6e-05
11.24,10.05,0.0002887,4.273e-05,0.0002189,0.0001733,6e-05
11.21,10.1,0.000299,4.466e-05,0.0002288,0.0001773,6e-05
11.17,10.15,0.0003097,4.669e-05,0.0002392,0.0001815,6e-05
11.13,10.2,0.0003209,4.881e-05,0.0002501,0.0001857,6e-05
11.09,10.25,0.0003326,5.102e-05,0.0002614,0.00019,6e-05
11.05,10.3,0.0003448,5.332e-05,0.0002732,0.0001945,6e-05
11.01,10.35,0.0003575,5.573e-05,0.0002855,0.000199,6e-05
10.96,10.4,0.0003708,5.824e-05,0.0002984,0.0002036,6e-05
10.92,10.45,0.0003846,6.086e-05,0.0003118,0.0002084,6e-05
10.87,10.5,0.0003991,6.359e-05,0.0003258,0.0002132,6e-05
10.82,10.55,0.0004141,6.644e-05,0.0003404,0.0002182,6e-05
10.77,10.6,0.0004298,6.94e-05,0.0003556,0.0002233,6e-05
10.72,10.65,0.0004461,7.249e-05,0.0003714,0.0002285,6e-05
10.66,10.7,0.0004631,7.571e-05,0.0003879,0.0002338,6e-05
10.6,10.75,0.0004807,7.905e-05,0.000405,0.0002392,6e-05
10.54,10.8,0.0004991,8.254e-05,0.0004229,0.0002448,6e-05
10.47,10.85,0.0005181,8.96e-05,0.0004377,0.0002555,6e-05
10.4,10.9,0.0005379,9.351e-05,0.0004568,0.0002614,6e-05
10.33,10.95,0.0005584,9.757e-05,0.0004766,0.0002675,6e-05
10.25,11,0.0005798,0.0001018,0.0004972,0.0002737,6e-05
10.17,11.05,0.0006019,0.0001062,0.0005186,0.0002801,6e-05
10.09,11.1,0.0006248,0.0001107,0.0005408,0.0002866,6e-05
9.997,11.15,0.0006486,0.0001154,0.0005637,0.0002933,6e-05
9.902,11.2,0.0006733,0.0001203,0.0005875,0.0003001,6e-05
9.803,11.25,0.0006988,0.0001253,0.0006121,0.0003071,6e-05
9.699,11.3,0.0007251,0.0001305,0.0006375,0.0003143,6e-05
9.589,11.35,0.0007524,0.0001359,0.0006638,0.0003216,6e-05
9.474,11.4,0.0007796,0.0001478,0.0006849,0.0003364,6e-05
9.354,11.45,0.0008084,0.0001538,0.0007126,0.0003443,6e-05
9.227,11.5,0.0008382,0.0001599,0.0007411,0.0003523,6e-05
9.095,11.55,0.0008688,0.0001663,0.0007705,0.0003605,6e-05
8.956,11.6,0.0009003,0.0001728,0.0008006,0.0003689,6e-05
8.811,11.65,0.0009326,0.0001794,0.0008316,0.0003775,6e-05
8.66,11.7,0.0009657,0.0001863,0.0008632,0.0003863,6e-05
8.502,11.75,0.0009996,0.0001933,0.0008956,0.0003953,6e-05
8.336,11.8,0.001032,0.0002105,0.0009197,0.0004145,6e-05
8.164,11.85,0.001067,0.0002181,0.000953,0.0004242,6e-05
7.984,11.9,0.001103,0.0002259,0.0009869,0.0004341,6e-05
7.796,11.95,0.001139,0.0002337,0.001021,0.0004442,6e-05
7.601,12,0.001176,0.0002417,0.001056,0.0004545,6e-05
7.398,12.05,0.001207,0.000263,0.001075,0.0004774,6e-05
7.187,12.1,0.001244,0.0002715,0.001109,0.0004885,6e-05
6.967,12.15,0.001281,0.0002799,0.001144,0.0004999,6e-05
6.739,12.2,0.001318,0.0002882,0.001178,0.0005116,6e-05
6.502,12.25,0.001354,0.0002965,0.001212,0.0005235,6e-05
6.256,12.3,0.001379,0.0003226,0.001221,0.0005514,6e-05
6.002,12.35,0.001414,0.0003309,0.001252,0.0005642,6e-05
5.737,12.4,0.001447,0.0003388,0.001282,0.0005774,6e-05
5.464,12.45,0.001466,0.0003703,0.001279,0.000611,6e-05
5.18,12.5,0.001496,0.0003775,0.001304,0.0006253,6e-05
4.887,12.55,0.001523,0.000384,0.001326,0.0006398,6e-05
4.583,12.6,0.001547,0.0003894,0.001345,0.0006547,6e-05
4.27,12.65,0.001543,0.0004237,0.001309,0.0006952,6e-05
3.946,12.7,0.001558,0.0004265,0.001318,0.0007114,6e-05
3.611,12.75,0.001568,0.0004272,0.00132,0.000728,6e-05
3.265,12.8,0.001723,0.0005282,0.001413,0.0008301,6e-05
3,12.85,0.001737,0.0005302,0.001419,0.0008494,6e-05
3,12.9,0.001809,0.0005552,0.001485,0.0008692,6e-05
3,12.95,0.001885,0.0005813,0.001555,0.0008894,6e-05
3,13,0.001963,0.0006087,0.001629,0.0009102,6e-05
3,13.05,0.002046,0.0006374,0.001705,0.0009314,6e-05
3,13.1,0.002132,0.0006675,0.001786,0.000953,6e-05
3,13.15,0.002223,0.0006989,0.00187,0.0009752,6e-05
3,13.2,0.002317,0.0007319,0.001958,0.000998,6e-05
3,13.25,0.002416,0.0007663,0.00205,0.001021,6e-05
3,13.3,0.00252,0.0008025,0.002147,0.001045,6e-05
3,13.35,0.002628,0.0008403,0.002248,0.001069,6e-05
3,13.4,0.002742,0.0008799,0.002354,0.001094,6e-05
3,13.45,0.002861,0.0009214,0.002465,0.00112,6e-05
3,13.5,0.002985,0.0009648,0.002581,0.001146,6e-05
3,13.55,0.003115,0.00101,0.002703,0.001173,6e-05
3,13.6,0.003252,0.001058,0.00283,0.0012,6e-05
3,13.65,0.003394,0.001108,0.002964,0.001228,6e-05
3,13.7,0.003544,0.00116,0.003103,0.001256,6e-05
3,13.75,0.0037,0.001215,0.00325,0.001286,6e-05
3,13.8,0.003864,0.001272,0.003403,0.001316,6e-05
3,13.85,0.004036,0.001332,0.003563,0.001346,6e-05
3,13.9,0.004215,0.001395,0.003731,0.001378,6e-05
3,13.95,0.004403,0.00146,0.003907,0.00141,6e-05
3,14,0.0046,0.001529,0.004091,0.001442,6e-05
3,14.05,0.004806,0.001601,0.004284,0.001476,6e-05
3,14.1,0.005022,0.001677,0.004486,0.00151,6e-05
3,14.15,0.005248,0.001756,0.004697,0.001546,6e-05
3,14.2,0.005484,0.001838,0.004919,0.001582,6e-05
3,14.25,0.005732,0.001925,0.00515,0.001619,6e-05
3,14.3,0.005991,0.002016,0.005393,0.001656,6e-05
3,14.35,0.006263,0.002111,0.005647,0.001695,6e-05
3,14.4,0.006547,0.00221,0.005913,0.001734,6e-05
3,14.45,0.006845,0.002314,0.006192,0.001775,6e-05
3,14.5,0.007157,0.002423,0.006484,0.001816,6e-05
3,14.55,0.007483,0.002538,0.00679,0.001858,6e-05
3,14.6,0.007825,0.002657,0.007109,0.001902,6e-05
3,14.65,0.008182,0.002782,0.007445,0.001946,6e-05
3,14.7,0.008557,0.002914,0.007795,0.001991,6e-05
3,14.75,0.00895,0.003051,0.008163,0.002038,6e-05
3,14.8,0.00936,0.003195,0.008547,0.002085,6e-05
3,14.85,0.009791,0.003345,0.00895,0.002134,6e-05
3,14.9,0.01024,0.003503,0.009372,0.002183,6e-05
3,14.95,0.01071,0.003668,0.009814,0.002234,6e-05
3,15,0.01121,0.003841,0.01028,0.002286,6e-05
3,15.05,0.01172,0.004022,0.01076,0.002339,6e-05
3,15.1,0.01227,0.004211,0.01127,0.002394,6e-05
3,15.15,0.01283,0.00441,0.0118,0.00245,6e-05
3,15.2,0.01343,0.004618,0.01235,0.002507,6e-05
3,15.25,0.01405,0.004835,0.01294,0.002565,6e-05
3,15.3,0.0147,0.005063,0.01355,0.002625,6e-05
3,15.35,0.01538,0.005302,0.01419,0.002686,6e-05
3,15.4,0.01609,0.005552,0.01485,0.002749,6e-05
3,15.45,0.01684,0.005813,0.01555,0.002813,6e-05
3,15.5,0.01762,0.006087,0.01629,0.002878,6e-05
3,15.55,0.01844,0.006374,0.01705,0.002945,6e-05
3,15.6,0.0193,0.006675,0.01786,0.003014,6e-05
3,15.65,0.0202,0.006989,0.0187,0.003084,6e-05
3,15.7,0.02114,0.007319,0.01958,0.003156,6e-05
3,15.75,0.02213,0.007663,0.0205,0.003229,6e-05
3,15.8,0.02316,0.008025,0.02147,0.003305,6e-05
3,15.85,0.02424,0.008403,0.02248,0.003382,6e-05
3,15.9,0.02537,0.008799,0.02354,0.00346,6e-05
3,15.95,0.02655,0.009214,0.02465,0.003541,6e-05
3,16,0.02779,0.009648,0.02581,0.003623,6e-05
